63 The company confirms that you have completed the internship.
64 The internship certificate is a proof of your professional experience.
65 The internship certificate is a proof of your professional experience.
66 The internship certificate is a proof of your professional experience.
67 The internship certificate is a proof of your professional experience.
68 The internship certificate is a proof of your professional experience.
69 The internship certificate is a proof of your professional experience.
70 The internship certificate is a proof of your professional experience.
71 The internship certificate is a proof of your professional experience.
72 The internship certificate is a proof of your professional experience.
73 The internship certificate is a proof of your professional experience.
74 The internship certificate is a proof of your professional experience.
75 The internship certificate is a proof of your professional experience.
76 The internship certificate is a proof of your professional experience.
77 The internship certificate is a proof of your professional experience.
78 The internship certificate is a proof of your professional experience.
79 The internship certificate is a proof of your professional experience.
80 The internship certificate is a proof of your professional experience.
81 The internship certificate is a proof of your professional experience.
82 The internship certificate is a proof of your professional experience.
83 The internship certificate is a proof of your professional experience.
84 The internship certificate is a proof of your professional experience.
85 The internship certificate is a proof of your professional experience.
86 The internship certificate is a proof of your professional experience.
87 The internship certificate is a proof of your professional experience.
88 The internship certificate is a proof of your professional experience.
89 The internship certificate is a proof of your professional experience.
90 The internship certificate is a proof of your professional experience.
91 The internship certificate is a proof of your professional experience.
92 The internship certificate is a proof of your professional experience.
93 The internship certificate is a proof of your professional experience.
94 The internship certificate is a proof of your professional experience.
95 The internship certificate is a proof of your professional experience.
96 The internship certificate is a proof of your professional experience.
97 The internship certificate is a proof of your professional experience.
98 The internship certificate is a proof of your professional experience.
99 The internship certificate is a proof of your professional experience.
100 The internship certificate is a proof of your professional experience.

## Answer: An internship is very helpful before starting out in working life. Interns get to know professions and fields of activity. They can see which job is right for them. Interns get to know companies and businesses. They see if they want to work there. Interns make
